Tree Species,,Trees = 1,Shrubs = 2,Fruit = 3,nuts = 4,butterflies = 5,Caterpillars = 6,Seeds = 7,Evergreen = 8,Nectar = 9
Acer negundo,,1,0,3,4,5,6,0,0,0
Acer rubrum,,1,0,3,4,5,6,0,0,0
Acer saccharinum,,1,0,3,4,5,6,0,0,0
Alnus serrulata,,1,2,3,4,5,6,0,0,0
Amelanchier arborea,,1,2,3,0,5,6,0,0,0
Baccharis halimifolia,,1,2,3,4,0,0,0,0,0
Carpinus caroliniana,,1,0,3,4,5,6,0,0,0
Carya cordiformis,,1,0,3,4,5,6,0,0,0
Carya glabra,,1,0,3,4,5,6,0,0,0
Carya ovata,,1,0,3,4,5,6,0,0,0
Carya tomentosa,,1,0,3,4,5,6,0,0,0
Castanea dentata,,1,0,3,4,5,6,0,0,0
Celtis occidentalis,,1,0,3,0,5,6,0,0,0
Chamaecyparis thyoides,,1,0,0,0,5,6,0,8,0
Cornus alternifolia,,1,2,3,0,5,6,0,0,0
Cornus florida,,1,0,3,0,5,6,0,0,0
Cornus racemosa,,1,2,3,0,5,6,0,0,0
Crataegus crus-galli,,1,2,3,0,5,6,0,0,0
Diospyros virginiana,,1,0,3,0,5,6,0,0,0
Fraxinus americana,,1,0,3,4,5,6,0,0,0
Fraxinus pennsylvanica,,1,0,3,4,5,6,0,0,0
Hamamelis virginiana,,1,2,3,4,5,6,0,0,0
Juglans nigra,,1,0,0,0,5,6,0,0,0
Juniperus virginiana,,1,0,3,0,5,6,7,8,0
Kalmia latifolia,,1,2,3,4,5,6,0,8,0
Larix laricina,,1,0,0,0,5,6,7,0,0
Liquidambar styraciflua,,1,0,3,4,5,6,0,0,0
Liriodendron tulipifera,,1,6,3,0,4,5,0,0,9
Morus rubra,,1,0,3,0,5,6,0,0,0
Ostrya virginiana,,1,0,3,4,5,6,0,0,0
Pinus resinosa,,1,0,0,0,5,6,7,8,0
Pinus rigida,,1,0,0,0,5,6,7,8,0
Pinus strobus,,1,0,0,0,5,6,7,8,0
Platanus occidentalis,,1,0,3,4,5,6,0,0,0
Populus deltoides,,1,0,3,4,5,6,0,0,0
Populus tremuloides,,1,0,0,0,5,6,0,0,0
Prunus pensylvanica,,1,2,3,0,5,6,0,0,0
Prunus serotina,,1,0,3,0,5,6,0,0,0
Prunus virginiana,,1,2,3,0,5,6,0,0,0
Ptelea trifoliata,,1,2,3,4,5,6,0,0,0
Quercus alba,,1,0,3,4,5,6,0,0,0
Quercus montana,,1,0,3,4,5,6,0,0,0
Quercus palustris,,1,0,3,4,5,6,0,0,0
Quercus prinoides,,1,2,3,4,5,6,0,0,0
Quercus rubra,,1,0,3,4,5,6,0,0,0
Rhus copallinum,,1,2,3,0,5,6,0,0,0
Rhus glabra,,1,2,3,0,5,6,0,0,0
Rhus typhina,,1,2,3,0,5,6,0,0,0
Salix discolor,,1,2,0,0,5,6,0,0,0
Salix nigra,,1,0,0,0,5,6,0,0,0
Sassafras albidum,,1,0,3,0,5,6,0,0,0
Staphylea trifolia,,1,2,3,4,5,6,0,0,0
Thuja occidentalis,,1,0,0,0,5,6,0,8,0
Tsuga canadensis,,1,0,0,0,5,6,7,8,0
Ulmus americana,,1,0,3,4,5,6,0,0,0
Viburnum prunifolium,,1,2,0,3,5,6,0,0,0